2021-12-09,Negative,Apakah ada yang tau bahwa $GOTO dkk sudah bisa bikin untung. #BeliBUKA https://t.co/MbktUajhsb,goto dan kawan-kawan bikin untung
2021-12-09,Negative,"Wah wah tau gak sih kamu kalau Oh ya katanya Investor Retail tuh gak tertarik sama IPO Bukalapak dan GoTo, Mengapa yaa gais  #BeliBUKA  https://t.co/qAVX8Xi8oq",sih oh iya investor retail tuh tertarik ipo bukalapak goto yaa gais
2021-12-09,Positive,Bagaimana BUKAnya?  464 dan 438 mantep ta?  Jualnya di atas 1500 sembari menunggu GoTo IPO,bukanya mantap ta jualnya sembari menunggu goto ipo
2021-12-08,Negative,BI: IPO GoTo Hingga Inalum Dorong Inflow Asing di 2022 https://t.co/1HF7kpoZ9r,bi ipo goto inalum dorong inflow asing
2021-12-08,Negative,Uangnya ga dipake buat ekspansi bisnis tapi tar dipake buat beli pas ipo goto HAHAHAH plot twist kl beneran terjadi https://t.co/eegxDAHs8P,uangnya dipake ekspansi bisnis dipake beli pas ipo goto hahahah plot twist beneran
2021-12-08,Negative,IPO GoTo &amp; Risiko Karpet Merah Regulator untuk Investor Saham Ritel https://t.co/enSXq8kAOq,ipo goto risiko karpet merah regulator investor saham ritel
2021-12-08,Negative,"Analis menilai penawaran umum saham perdana ke publik atau IPO Unicorn, seperti IPO GoTo, akan diminati investor karena model bisnis yang familiar dan memiliki pangsa pasar yang besar.   https://t.co/Yfkt4WxjJX",analis menilai penawaran umum saham perdana publik ipo unicorn ipo goto diminati investor model bisnis familiar memiliki pangsa pasar
2021-12-08,Positive,https://t.co/9uB8DiysT6 Cek tokopedia ipo,cek tokopedia ipo
2021-12-07,Positive,"$BUKA sekarang 1 lembar sahamnya dibawah 500 rupiah  wkwkw, tutuplapak ajalah.  Mending nunggu GOTO IPO &lt;3 awww https://t.co/mCPNr6vJaJ",buka lembar sahamnya dibawah rupiah wkwkw tutuplapak ajalah lebih baik nunggu goto ipo awww
2021-12-07,Positive,Gapernah beli sejak ipo soalnya nungguin goto ajah👀🤝 https://t.co/Gm3NFd71IO,gapernah beli ipo nungguin goto ajah
2021-12-07,Positive,"Temen gue dapet alokasi harga IPO saham GOTO dan gue dikasih jatah nitip ke dia, semoga gak lawak kayak sebelah aja lah 😄",teman alokasi harga ipo saham goto dikasih jatah nitip semoga lawak kayak sebelah
2021-12-07,Positive,IPO GoTo semakin dekat tabungan abis☹️,ipo goto tabungan habis
2021-12-07,Negative,"OJK Terbitkan Aturan Multiple Voting Share (MVS), Karpet Merah IPO GoTo dkk https://t.co/TNOeNQTnkh",ojk terbitkan aturan multiple voting share mvs karpet merah ipo goto dan kawan-kawan
2021-12-07,Positive,Nanti nih pas GoTo IPO apakah nasibnya sama seperti Bukalapak? 🤔,pas goto ipo nasibnya bukalapak
